"ID","REVIEW","RATING","AUTHOR","TITLE"
"999","If I have to summarize the movie it will be like this:
Why did you eat my sandwich?I ate your sandwich because you ate my cake.But I ate your cake because you drank my tea.oh I didn't mean it, I love you.I love you too.but you shouldn't have worn my shirt.Well I wore your shirt because you wore my skirt.Aaahh f youF you too!...etc.
and it rinse and repeat for the whole movie with strong performance from the both leads and good camera work.","6","Daskoolzup"," Good acting, unbearable plot
"
"1000","Anyone who didn't understand this film, lacks the intellect of words , feelings , pain, relationship and love. It's real. And it's deep and small minds wouldn't and couldn't understand. Bravo.","10","amandamm-68837"," Intellectual
"
"1001","I'm new to this review writing stuff, but i had to write my first review for this movie as it was made a big injustice to it. For everyone who was expecting anything other that a great dialog/fight between two lovers and an A+ acting coming from both of the actors you're just part of the herd. Please don't watch this movie expecting to see some complicated action and just enjoy the great acting and take it as it is. I promise you it will blow you away!","9","razvan-popescu95"," Please ignore the movie's rating
"
"1002","Could barely get through this. Inappropriate self serving artsy trash.","4","kenmoring"," Self indulgent drivel
"
"1003","The relationship of the two sole characters of this film is revealed all in the matter of one long-winded, repetitive argument. The black and white picture sets the mood perfectly as the viewers are able to enter the bleak, exhausted relationship of Malcolm and Marie. There are several ups and downs as we follow the couple through the night, but it is easy to realize this one night mirrors their relationship as an entirety. If you're interested in a good story, listen. This film is unique as the actors do not show you their trials and tribulations, rather, they speak them. Be patient while watching this, and do not expect a conclusive ending. With a toxic and chaotic relationship such as these characters', it would not be true to put a 'period' at the end of the film, as their story is a never-ending, exhausting repetition.","9","copperrd"," Exhausting Repetition
"
"1004","I loved the movie it just show how real life is
The fight is endless but its reality
The actors did an amazing job in expressing the emotion of the characters
Damn I was hurt when malcolm told marie about the movie and his exes","10","kittykriska"," Amazing performance from both of them
"
"1005","This film will definitely not be for everybody, but if you're a fan of raw acting and a certain realism in films that can only be compared to every day life then this is definitely one to watch.","8","jakobledwards"," Amazing
"
"1006","""Malcolm & Marie is another Marriage Story and Revolutionary Road typical movie that maybe we can say the black version of Marriage Story and Revolutionary Road which is for me this is kinda little bit intense than two of that, i like that they choose black and white color the whole movie i think that was a perfect decision, very very strong chemistry between Zendaya and John David Washington, they perfomance is blew my mind because i didn't expect they are gonna be so good, this movie have everything especially in the emotion way, there is a time to laugh, there is a time to serious, there is a time to sad, and there is a time to scared, and i get all of that, i really enjoyed this so much in fact i actually want more of this, overall Malcolm & Marie is a really good movie with an incredible perfomance, highly recommended""","10","HabibieHakim123"," Incredible Perfomance
"
"1007","Malcolm & Marie - C+ (Flawed but Worthy)Zendaya was phenomenal in Euphoria, and I was exciting to see her in her first major solo lead in a movie. However, she delivered but the movie is just outright pointless and exhausting. Two people yelling for around 100 minutes, playing music, smoking and cooking that's all you get. You wait for something to happen but it never does they fight, take a break then fight again.John David Washington is becoming bit of a disappointment, he was great in BlackKKlansman but since then his boring uncharismatic turn in Tenet and now here with Over the Top performance makes you wonder about his choices as an actor. A good actor should be good in anything regardless of the director but he just can't hold on to his own.Sam's Assassination of the Nation was over the top but fun timepass which lead to Euphoria but here he went 2 steps back instead of forward. A pointless dialogue bonanza winning no accolades or appreciation. Good they get to make a movie in a pandemic but it's we who have to suffer. Things we do for ZENDAYA!!!","4","saadgkhan"," Pretentious, pointless and exhausting
"
"1008","My wife and I happened to catch a program on PBS radio where this movie was being discussed, and the people (I believe they were critics) who were talking about it absolutely trashed it. But it got our curiosity up, so, with low expectations, we gave it a watch. I guess we just aren't as smart as the critics, because we both enjoyed it. None of the criticisms the critics made (i.e. overacting, stiff acting, poor dialog) was valid to us. I'm wondering if one particular scene that was rather critical of a movie critic simply ticked the real critics off, so they were trying to exact their revenge.Anyone who's been in a serious relationship could likely relate to the feelings the actors portrayed, and the amount of dialog they needed to perform was astounding. For us, even though the movie featured only 2 people in a conversation over the course of one long night, it held our attention. Certainly this film was much better than the most recent one Denzel gave us. Count us among those who enjoyed this.","8","jordan2240"," The better move from a Washington this year
"
"1009","The very fabric of human behaviour is displayed in this movie @zendaya was a master piece she portrayed brokenness in its essence and become one with it","8","kayleankdavids"," Best one yet
"
"1010","This is a masterpiece!! It was consuming, captivating, irritating and emotional. It's original and clever. I thought I wasn't going to like it after about 15 mins in but I kept watching. I'm so glad I did!!! I loved it!!! The acting is absolutely phenomenal!! The look and feel is so intense and cold. But the heated chemistry between them sets you ablaze, then suddenly you're thrusted back into this cold, hard, dead end of a relationship with them. And at times you hate them and you love them and you understand why they behave and feel the way they do. Then you realize that you can relate because in some way, at some point you are them. You've dealt with this before and it hits hard in the best way. Just watch it for yourself, you'll either love it or hate it!!","10","shelandascott"," Just watch movies for yourself!
"
"1011","Only a few will enjoy Malcolm & Marie.
Zendaya and John David Washington are amazing actors. The cinematography is amazing, and the choice to make the movie black and white was a great one.
Beautiful music selection. Just perfect for the movie.It's a classic tale about love and the toxicity between Malcolm, who is a movie writer and director and Marie, a former actress. All things previously unsaid spew out on what should be the biggest night of the two.","9","nrgigaba"," Great Acting & Cinematography
"
"1012","The amount of honesty in they relationship is insane.","10","mbulimorgan"," Honestly
"
"1013","Beautiful movie and so relatable, I thought for a second I'm watching one of my fights with my significant other, it's not a love movie it's a movie about love","10","heba_abza"," Beautiful and relatable
"
"1014","As ""Malcolm & Marie"" (2021 release; 106 min.) opens, the couple arrives home late at night, after Malcolm's latest film has premiered to apparently great buzz. Malcolm is putting on some great music, while Marie starts preparing some mac and cheese. As the conversation turns, we learn that Marie is quite upset with Malcolm as he failed to thank her in his post-movie's speech, despite the film being inspired by her drug addiction in a prior life. It marks the start of a looooong evening...Couple of comments: this is the latest project from Sam Levinson, best known for the HBO TV series ""Euphoria"", starring Zendaya. When ""Euphoria"" shut down production due to COVID-19, he pitched some ideas for a feature film to Zendaya, who eagerly accepted this particular idea. John David Washington equally jumped on it. It all sounded so promising, and when I saw the film's trailer recently, I couldn't wait to see this. Alas, something doesn't quite add up. The biggest shortcoming is without a doubt the script. It's just not equipped to provide 1 hr. and 45 min. of in-depth characters. To be clear: there are only 2 characters in the film. The trajectory of the characters is too obvious: from hot to cold, to hot again, and then to cold again, and at some point you just want to yell ""enough already!"". Check out the long monolgue that Malcolm gives upon reading the LA Times review of his new film ""by that white chick"". I mean, even John David Washington collapses in the film at the end of that rant from sheer exhaustion! But then there are scenes that are very powerful. So in the end it's a bit of a bixed bag, and frankly this feels like a missed opportunity. Please note that the film is shot in B&W, and features an outstanding soundtrack with choice cuts from James Brown, Outcast, and many others. It is also noteworthy that this is touted as the first Hollywood film produced and shot entirely during the COVID-19 pandemic, adhering fully to the COVID restrictions during the movie's production.""Malcolm & Marie"" was self-financed by Sam Levison and his wife (with a minuscule $2.5 million production budget), and then Netflix snapped it up for an eye-popping $30 million. The film was released for a limited theatrical run this past weekend, before then moving on to Netflix in the near future. The Sunday early evening screening where I saw this at turned out to be a private screening: I was the only person in the theater (and the rest of the theater complex resembled a ghost town). I honestly don't know how movie theaters can operate profitably in the current pandemic. And it's not like this will change any time soon. Meanwhile if you are interested in a relationship drama or are simply a fan of Zendaya or John David Washington, I'd readily suggest you check this out, be it in the theater (if you still can), on VOD, or eventually on DVD/Blu-ray, and draw your own conclusion.","6","paul-allaer"," The thin line between love and hate (but the sum of the parts doesn't add up)
"
"1015","A pretentious man and a mentally unstable woman fight for almost two hours. That's it.The cinematography is gorgeous. The directing has its moments. And actors are certainly talented. But my goodness, this movie felt like being hit with a hammer in the head repeatedly for its entire duration.After the first 20 minutes I thought to myself, ""That was a pretty good short film. I didn't mind that."" But then it kept going and going and going. And the longer it went the less relatable and more awful the two leads were revealed to be.The man is an egotistical and pretentious sort who keeps a list of all the favors he does for his girlfriend and holds it over her head when she asks for anything in return. The woman is mentally unstable and verbally abusive, gaslighting and playing the victim in a toxic manipulative way. The way they portray the supposed ""fine line between love and hate"" bears no actual semblance to real life or real relationships - at least not in mine. If your relationship is like this - RUN. This is not normal. This is not okay.Every argument that starts back up again only shows more why both characters don't deserve our sympathy. We do not know anything about either character except what they tell us by screaming at each other over the course of the film. It's exhausting. It's unwatchable at times.I gave this a slightly higher rating at first - a 5/10 - because from a technical standpoint, it's very well made I just didn't care for the handling of the plot. (That's not to say I didn't enjoy the idea, I think films like Locke are intriguing and Marriage Story was fantastic. This didn't quite do it for me though because... well, the toxicity of it all) But after seeing how women of Twitter have responded, my feelings toward the movie have soured a bit more. This honestly reminds me of when Fight Club came out and the narcissistic a-holes who watched that idolized Pitt's character and turned him into a hero. Now it's the turn for the abusive, toxic women to have their hero.","4","SimonsRants"," Stop. Just Stop
"
"1016","Two people. Fighting over nothing. Black & white. Entire flic takes place in one location (house). Two people yell and insult each other. Fighting over nothing. Black & white. Two people. The end.","2","lfcamacho"," Errrrrr, What?!
"
"1017","An interesting, thought-provoking, super actor choice","10","nagydorottya-64759"," Brilliant movie
"
"1018","Straight out the gate, don't think of it as the black version of Marriage story, it doesn't have the maturity of characters nor the same depth of conflict together with the stakes that film beholds. Malcolm and Marie is not pretentiously profound like how other critics try to make it seem, it is a beautiful film featuring the outburst of emotions from two unstable lovers with contrasting personalities and we go with them as they go through a night of intimacy intertwined with toxicity. Well-shot and well-directed, it looked liked a ""high-end disagreement"", and amidst the pettiness between two lovers their environment blends well with their situation, the mood right from start glued me to my screen from start to finish.Both actors did an amazing job and huge part of it is because of the superb writing, but I see people criticizing the chemistry between Zendaya and John, and I honestly believe Zendaya is a very replaceable part of the film, but nonetheless she did great and delivered her best performance of her acting career, John is so versatile and honestly, he could be a leading man of an another romantic film. This is one of those films where we supervise and go where the characters' dialogue take us, don't go looking for a huge arc, just enjoy and feel the actors' performance cause for sure both gave heart-felt acting.","9","Bviruiyan-Chwordervosky"," SOON TO BE CLASSIC
"
"1019","Malcolm and Marie tells us the important yet struggles of a relationship. It is almost as if the movie that Malcolm wrote in the film almost has the same effect on us viewers. Pain , conflict , the passion that was written in the script alll is similar to the movie. I feel as if zendaya did a wonderful job as playing a depresssed drug addict yet intelligent and open minded girl. And John Washington had an even better role playing malcom after seeing his wonderful performance in Tenet. You can feel the tension between the 2 characters and actors. Although there may be some poor comments I think Malcolm and Marie is a revelation too relationships in this day and age and must get more recognition. If only lockdown wasn't here we would of had the lucky chance too see it in cinemas","9","checooke"," Revelation
"
"1020","The performances are authentic and the chemistry between the leads is very believable. This is a well-written movie with great cinematography. Though, given that the movie is entirely arguing, it could've been a bit shorter. This movie is entirely for the amazing performances and screenplay.","7","movieturtle2013"," The performances
"
"1021","I personally loved this film. While I can see how some could have a hard time sitting through this, the acting, directing, and overall style to me was spectacular.This is the best I've seen Zendaya and Washington. They captured every emotion I've felt during breakups, the ups and the downs. The directing was phenomenal, I couldn't help but be entranced by the shots throughout.This isn't an exceptionally exciting movie. If you don't want to wrap yourself in the emotions of essentially just two people yelling at each other, this isn't a film I'd recommend.","8","ethan-09114"," I can see both sides
"
"1022","Acting was good. The story was annoying and pretentious. It is shot in black and white which is lets you know right away the movies cares more about cool than substance. The dialogue is basically a fight that evolve over one night. It is the opposite of compelling. Do yourself a favor and watch anything else.","4","gfarrell0"," Too Cool for School
"
"1023","This is shockingly well-paced for a film with so few locations and so much dialogue. The look of the entire thing is great, plus Zendaya and John David Washington bring brilliant performances. I thoroughly enjoyed Malcolm & Marie, though it didn't connect with me on the emotional level that I perhaps wanted or hoped it would.","8","CulvertonSmith"," Very Enjoyable
"
"1024","This is a fascinating one to read reviews for, including, if not especially, the ones with which I disagree. I think that's because ""Malcolm & Marie"" is explicitly about the creation and appreciation of cinematic art. The two-hander, one-house lockdown set (made as it was during the pandemic) talkfest takes place after the eponymous couple return home on the night of the premiere of Malcolm's debut film, which he wrote and directed. Their series of monologues--organized almost as if they were part of a formal debate, each talking at length largely uninterrupted and each taking time to formulate rebuttals--begin and end over his neglecting to thank Marie, herself a former actress turned ""muse,"" in his public remarks at the premiere. Another focal point of the couple's arguments is an LA Times review of the unseen film-within-the-film. Indeed, the review makes some similar criticisms that have been leveled against ""Malcolm & Marie,"" over authenticity, authorship, gender, race, stylistic choices. It's an argument about artistic values, within the film and continued in reviews of it.I'm a sucker for this sort of reflexive construction. Initially, or instinctively, I had the urge to dismiss it, though, which some others seem to have, as an artsy and self-indulgent stagy exercise in overwrought overacting on black-and-white celluloid. A lot like in some ways two recent filmed plays, both of which I also liked, ""Ma Rainey's Black Bottom"" and ""One Night in Miami"" (both 2020). All three are unrealistic and dialogue heavy in their own ways where actors are sometimes playing ideas or arguments more than they are characters, and they're all artistically reflexive debates about art. ""Malcolm & Marie,"" however, is more cinematically designed than them, while in form highly reminiscent of ""Who's Afraid of Virginia Woolf?"" (adapted from the play in 1966), with so much attention given to composition and the highlighting of that by its unusual nature as a modern black-and-white film. It's also focused on film--down to the celluloid vs digital debate--whereas the other recent movies are more about music or other media.Regardless of whether this is semi-autobiographical of writer-director Sam Levinson's marriage, as filtered through actors John David Washington and Zendaya, and all the gender and racial issues that brings up with a white man telling the story of black characters, one female, within the film the neat suggestion is that it's making itself: that it's the result of the writer-director character, Malcolm, and actress, Marie, having made it themselves--and that it, too, is about talking about a prior film that's also semi-biographical. It's a multi-layered narrative mise-en-abyme. On top of that, the gorgeous high-contrast black-and-white cinematography is often framed through the home's many windows, creating another framing within the already-existent frame of the film--a visual mise-en-abyme alluding to the fact that this is a film. I like, too, how most of the score is diegetic.Of course, this review is a reflection of how I interpret the film and approach cinema in general, while others may be more interested in discussing character deficiencies, the supposed realism, or socio-political issues and especially race, if they don't dismiss it out of hand as artsy, self-indulgent, etc. All valid criticisms, more or less, and I even agree with them in part, but every time a diatribe verged on obnoxious or at least exhausting, it's turned around, just as Malcolm and Marie go tit-for-tat in their verbal abuse and, then, to shared joy, breaking for a cigarette now and again in between. I found a lot of it to be quite funny. A film where the two characters unnaturally speak in long-winded monologues, as photographed in black and white, but which also plays out largely in real time and is so realistic that the camera follows them to the bathroom. Some of Malcolm's anti-academic rants, also for instance, ironically become academic in their criticisms--bringing up race and politics or the male gaze to refute them, as if Levinson were defending against accusations made of ""Malcolm & Marie"" even before it was released. Malcolm's movie criticized for gratuitous nudity while we see Zendaya as Marie in various states of undress, only for Malcolm to point out that if this were a film that could be similarly rebuked. Marie, an actress who may sometimes be acting and as played by a real actress, has her moments, as well, especially at one point when it seems as though the lovers' quarrel has really gone off the rails. It's not whether it's right, or who wins the argument, or even that the picture is profound or pretentious, but it's a thoughtful engagement with film on film.","8","Cineanalyst"," Who's Afraid of the Film Critic?
"
"1025","It's just a film about a couple fighting, with much food for thought on many topics.","7","dodolazza"," This film is about NOT overanalyzing films
"
"1026","The film is 1hr 45 mins.I really like the first 45 minutes. It was funny, well written and well acted and for the most part I was hooked. The black and white looked slick - the cinematography and direction were all really good.However after this there's a 15 minute period where it kinda dips in energy and I started to notice myself checking the time a couple of times.The biggest problem however, comes in the final 45 minutes... because they literally just... repeat the first hour. It follows the same format, arguing back and forth and gets stale way too quickly than it should. It falls into the trap that other contained films do, one where they just kind of run out steam and energy and just ideas of where and how to progress the story forwards. So the end up repeating the same stuff and it becomes, unfortunately, extremely boring.Zendaya and John David Washington are both good but don't make this film worth watching. At least 30 minutes could have been cut and it would've been a lot better, but it wouldn't have solved all the issues.Quite disappointing. Could've been a lot better.","6","sebastiandevos"," Great performances, but fails to hold attention for rest of film
"
"1027","Watch this movie when you feel very antisocial and have no trouble in life. Nice soundtracks, very predictable and elementary scenario.","1","aydatimer"," Waste of time
"
"1028","The script is great, the performances are incredible. It's so well written, catchy and subtle. I absolutely LOVED it and was left speechless at the end. The character of Malcolm felt so real, like men I've known in the past so it hit me even harder. This is the kind of movie I enjoy the most!","10","monnetmarie"," Unexpectedly breathtaking
"
"1029","Directed by Sam Levinson and starring John David Washington and Zendaya.One of the first films to be shot over the COVID-19 pandemic, this indie film by Levinson is immaculately shot in monochrome. Some of the shots in the film are so well framed, it looks like a painting.
Washington and Zendaya both give stellar performances, working well together with great chemistry.
The film focuses on a theme of critics and how film as an art form is perceived by audiences. There is aggressive dialogue towards the LA Times when reviews start to arrive to Malcolm, which could be controversial, resulting in esteemed critics taking this message to heart.
One flaw I have with the film is that, as amazing as Washington was in the film, there is a moment where he goes a bit over the top, and it starts to become a one man show almost.Overall: 8.4/10","8","jakemelin1217"," Malcolm and Marie
"
"1030","WOWW!! Just Woww!!
I've never seen a quarantine filmed movie yet thats amazing as Malcolm And Marie!!
Im speechless
This movie definitely deserves an oscar!!
Zendaya is Amazing in this film
That knife scene, just woww... ok, ok, I won't spoil anything else, 10/10 for sure","10","ahmadfattal"," And the oscar goes to... Zendaya
"
"1031","Zendaya (especially) and John David Washington are magnificent! The cinematography and soundtrack are also highlights. Sam Levinson's script is pretty good, despite being a bit self indulgent and very meta at times. Nonetheless, the lead performances enhance the storytelling plus Levinson's direction is stellar. Highly recommend - this film is not for everyone though, thus why it's been so divisive critically! I for one very much enjoyed it (can't wait for all the think pieces about this film upon its release LOL - a word to all, watch/read interviews about this for greater context please). It's for sure worth a watch anyway, if only for the performances!","9","emilyerose-53416"," An acting showcase
"
"1032","John David Washington continues to show his dominant and powerful presence as an actor and how prevalent he can be on the screen. Zendaya was not outshined by John David Washington however as she gives a very strong and heartfelt performance. These two actors showed their range, emotion, and talent incredibly well. The writing could have been really bad if it were different actors in the role however John David Washington and Zendaya made some bad lines seem good purely off their performance and talent.Malcolm & Marie depicts emotional trauma, resentment, lust, fame, and heartache in a relationship and the affects it can cause in a fantastic way. Each character has their own monologues about the relationship, their life, or past trauma or past relationships that brutally hurts the other person. The film shows how all of these things in a relationship are detrimental to both people and how it forms toxic emotional attachment which is unhealthy for both people to be in.Where the film falls short is in the run time. This film is not long it stands at an hour and forty six minutes and towards the end of the last act it feels like it is dragging on and they are arguing or talking about the same thing. If this film were a little shorter then it would have had a better impact on people but the end of the film took so long it kind of makes you not invested. Other than that this film has really good Oscar worthy performances and has really great themes throughout!","7","adamboykin"," Like father like son
"
"1033","Cinematography and some of the scenes are really good. It makes Malcolm&Marie worth watching. But plot and dialogue.. not so much. It could be so much better.","7","marinasrashvili"," Could have been better
"
"1034","While the script is rife with monologues and exhausting rants about politics, art, and criticism, Sam Levinson's 'Malcolm & Marie' has little meaningful to say about anything. The movie starts out solid on its first 20 minutes, but then the conversation and conflict between characters just go in circles for another hour and a half. The performances are compelling, the black and white cinematography is stunning, but nothing can save this movie from its terrible writing.","5","Sir_AmirSyarif"," Stylistic but exhausting and ultimately meaningless
"
"1035","I'm giving this movie a 10 for artistic quality, story, the fact that it held my attention with only two actors commanding the screen and cinematography. I might have given it an 8 but it scored a bit higher because it gave me a story about black people that didn't mention the typical stereotypical stuff most of us black folks don't identify with, like drugs or crime, or traumatic topics like police violence, slaves, or the white savor trope (i.e., The Help or The Blindside) basically topics Hollywood seems to think black people are limited to or care about. I look for stories about black people that don't insult my intelligence, like a Tyler Perry movie. No screaming adults or ignorant folks (the language Perry seems to think black people think and speak in). I can barely stomach his movies. I can watch and enjoy a Spike Lee movie, who... now that the rest of America is ""woke"" is better understood.Ironically, Spike is mentioned a few times, so the director may have been thinking of Spike when selecting the soundtrack. Or maybe he was thinking of him when he cast David Washington (son of Denzel Washington, who worked with Spike on two of his most important films, three total).What surprised me is that a white director could write black characters so succinctly, much less direct them without reducing the characters or the conflict to stereotypes. David Washington embodying that young cool, black dude swagger, and Zendaya in an unexpected role that was sexier than I was used to, because I still saw her as a girl rather than an adult. So it took a few minutes for me to dismiss any expectations I had about her age.Is the fact that the entire film is black and white a bit pretentious? Yes. Does it work? Yes. Malcolm and Marie held my attention throughout. It's a long movie, but I didn't notice the time passing because I wanted to know what would happen to this couple. I was anxious to find out. Like 2020's The Photograph, I enjoyed it. It's a movie for adults.Maybe we can get back to a time when we have more black films with something to say. Even comedy that has more to say and doesn't involve a black man in drag disguised in an insulting caricature of black women. Maybe we can get back to a time where there were movies like Mo Betta Blues, Jungle Fever, or The Best Man, Love and Basketball, and a few others that left us feeling a certain way. Malcolm and Marie is ""THAT"" movie in 2021. Good job.","10","RomanceNovelist"," Brilliant and doesn't insult the intelligence of the black audience like a Tyler Perry movie
"
"1036","I hate this trend of using black and white, as if it automatically means your film is ""artistic."" This movie was insanely boring and I could barely get through it. The acting is also super overrated. They both sucked","1","mapasha-44287"," Insanely pretentious and boring
"
"1037","I really loved the movie.
We have seen brilliant acting from both Zendaya and John David Washington. They both shine in this movie. The camera work was excellent. The shots and the entire settings were beautifully made.I think this movie does not get enough credit.
Some may criticizes the lack of story, but eventually it reminded me of an theatrical play.I loved the choice of words in the dialogues. They were well written in my opinion. Somehow very realistic and close to everyday language.You have to watch this movie with an open minded point of view.","10","dragonfire-46773"," One of the best movies during the pandemic
"
"1038","That shouting! absolutely hated the film
I hoped i would like it becouse of zendaya, but this is just bad","1","barboramudrak"," Hated it !
"
"1039","The level of ignorance and stupidity of some of the reviews is just appalling.","10","rikirikiriki"," And that's why Netflix suscribers can't have nice things
"
"1040","A black and white film trying hard to be artistic and award worthy with the talent of the two talented actors let down by an overlong script. There are a few moments that are worth watching but on the whole this would have been so much better as a film short. Instead we have the same scenes (arguing basically) for an entire film.","3","adamsmith-51004"," A let down
"
"1041","I'm really proud of the writer who wrote this screenplay, because he/she could write the main mole are arguing all the time. Only John & Zendaya's acting are wonderful.","5","nathanhowang"," Arguing, arguing & arguing
"
"1042","First and foremost, this movie is written very well. I can see why it's not for everyone. This movie goes in really deep and very detailed. But at the same time it should be relatable if you've ever been in a relationship. But for me what I also picked up on is how fragile the male ego really is. It was very eye-opening to see yourself in some of these fights yourself but also have an outsiders perspective at the same time. Seeing why in certain situations men react the way that do.","10","lilbit-69496"," The male ego
"
"1043","This movie was extremely interesting. It was thought provoking and the dialogue was beautiful. Zendaya and John didn't have a single dull moment and it was full of energy the whole time. Also, every movie doesn't need to have 100 different plot lines to make it great. This was impeccable especially as a 2 person cast in a singular location.","10","anthonyspidell"," Acting, Cinematography and the Writing... A++
"
"1044","It was absolutely beautiful, as if I was watching them from afar in that discussion.","9","dogucvk-53388"," naive and hurtful
"
"1045","The movie tries way too hard to recreate the tension/magic/dialog of the classic masterpiece ""who's afraid of Virginia Woolf"" and fails massively. We watch a mess of a relationship which should have been ended long ago, they play mindgames with each other where no one is the winner, he is obviously dependent on her, she is too immature to leave him. Throughout the whole movie I screamed ""Leave him! Please just go and be on your own!"" in my mind constantly. It was painful to watch at some point.
Zendaya's performance is stellar, John David Washington and his character Malcolm are hard to endure and his screaming fits are incredibly annoying and unnecessary (and way overacted).
All in all it did no leave a lasting impression, it is nowhere near the genius of Who's afraid of Virginia Woolf...unfortunately. I hoped for more.","5","may197"," It tries too hard to copy the genius of ""Who's afraid of Virginia Woolf""
"
"1046","I'm gonna change a quote from the social network (2010) here:
""You're not an a**hole, Mark. You're just trying so hard to be.""
But it's
""You're not pretentious, Malcolm and Marie. You're just trying so hard to be.""","5","olliecurtis"," Not as clever as it wants to be
"
"1047","Very annoying movie with no plot line and cringe-y cast overacting in every scene. You don't care for them and feel no sympathy whatsoever.The most annoying part is that Sam Levinson seems to think is the only one who has seen movies by Kieslowski, or Kubrick's Eyes wide Shut, and endlessly references them and steals ideas, but in the end serving no point and no climax.Zandaya dressed the same way as Nicole Kidman in Eyes wide Shut, (a brilliant movie I have seen 20 times, with easter eggs hidden along the way, unlike this piece of garbage). Levinson referencing the idea of deep conversations and fights in EWS, but unfortunately to no result, no creative meaning, no point. Zendaya peeing in an evening gown in the first scene (hello?! Again Eyes wide shut). But why??? Makes no sense, in the nineties this was groundbreaking to show this in cinemas, but now?? Nothing interesting, nothing new.I've gotten already pretty annoyed by Levinson using the soundtrack from Kieslowski's Double life of Vernonique in Euphoria, like it was completely new, his idea, without any references. But this movie beats the cake, because it's fake, boring and pointless, at least Euphoria had a story to tell. Perhaps Levinson thinks the only people seeing Malcolm and Marie will be teenies from Euphoria, treating all his ""borrowed"" ideas as new...
Not to mention that the interior and the wide shots from outside the house with Malcolm dancing in the beginning of the movie are a straight copy of Mia dancing to ""Girl, you'll be a woman soon"" in Pulp Fiction....Most cringe-y scenes: Malcolm eating mac & cheese (this scene will hunt you with its annoyance), Zendaya making weird cringe-y faces, making her look like a teenager and not like an intelligent, wise adult, she's supposed to portray.Sorry to say, but as much as I enjoyed Tenet, in this role Washington is also just plainly annoying, full of himself and not a likeable character...
Such a shame.","2","mariannaserwa"," Trying too hard to reference Kubrick's Eyes Wide Shut
"
"1048","Sam Levinson's Malcolm and Marie tackles the film industry,critics and the art of film making with curiosity and contempt. A brutally honest love/hate relationship that overwhelms and enthralls with powerful music notes in background. Zendaya and John both deliver staggering dramatic performances that astround and the cinematography is breathtaking. I struggle with rating this film as a whole because of my frustrations with the writing, but I ultimately choose to speak positively of it because of the supreme strength of the actors who were able to give this story a sense of authenticity.","8","samratsingraur"," Powerhouse Duo!
"
"1049","THE WORST MOVIE EVER GUYS I SUGGEST YOU NOT TO WATCH THIS ITS LITERALLY A WASTE OF TIME !!! IH MY GOD I CANT BELIEVE I SAW THAT!!! I LET THE MOVIE TILL THE END IN CASE STH WOULD CHANGE!!! LIKE I LET AND THE SONGS... A PIECE OF SHIEEEET!!!!!!!","1","irinakagianiwti"," 0/10
"
"1050","➕
Makes you think about filmmaking, writing, but mostly life, love and respect.Zendaya with a mesmerising performance. I didn't believe the hype until today (never watched Euphoria). All the emotions are there. She is perfect balancing the right mood for the right moment, even with few words sometimes. It's a crime if she is not nominated for Oscars. The same crime they are ready to commit with Lindo.John David Washington is almost as good as her, on the best performance of his career. Really great dealing with critics (and wannabe critics, like this site is full of), but also with insecurities, the creative process and all it takes from you.Kick the ass of politically correctness and old and new critics stereotypes about men, women or black people.
➖
It can feels overlong during the 2nd act. It gets better again.If you are not in the mood, don't go for it. It's heavy dialogue s*** here, so be prepared for that. It's not for everyone.","8","PedroPires90"," A Tour de Force. If you know what I mean.
"
"1051","Overhyped movie with a waste of acting talent. John David Washington is such a great actor, but even the brightest star can not save a boring black and white movie. Dull movie trying too hard.","4","axelilehto"," Black and White brings no extra value
"
"1052","I'm baffled who could relate to this besides annoying rich upcoming film industry yuppies. In a dialogue movie you need to care about the characters and the dialogue needs to be interesting. This has neither! I'm perturbed by Washington's recent movie appeal as he seems to be the same character in every one. 40 mins in I had to eject. And when she walked off for another pee only 10 mins after the first it should have turned into a horror movie. Absolute snooze fest with a director who somehow thinks they've stumbled across gold. We've seen movies done like this before only they were good.","1","mattjportch-996-832071"," Utterly boring spoilt brats
"
"1053","The acting is phenomenal along with the direction of scenes and cinematography. However the pace can really drag at times. The movie should've been shorter and had a bit more to it other than arguments and then making up several times over.","7","wafflepenguin"," Pretty decent
"
"1054","It's a very nice movie. The strongest elements about this film are the script and performances. Both lead performances are superb, emotional and real. And the screenplay is very well written, it's full of powerful lines and interesting conversations that keep you fully involved. The film also has some really beautiful shots. If you're into movies that are shot in one place with only two protagonists then Malcolm & Marie would be a perfect choice.","8","atractiveeyes"," Nice
"
"1055","Yes the film is beautifully shot and the set design is gorgeous. However, and that's a big HOWEVER, what a drag! The characters literally sound the same, no depth or originality what so ever. Felt like someone wanted to rant and they just made a script out of it....","3","Curiouscritic"," Beautifully shot but what a draaaaaaag.....
"
"1056","If you ain't a dialogue oriented person then you won't like it. The story is real, the acting is perfect, the cinematography was fire.","9","jeromymumba"," perfect
"
"1057","First of all, while you are watching the movie, if you are trying to pick a side about who's arguments are better, yeah, exactly! You're missing the whole point, they're both selfish like all of us ! Now beyond than, making the spectator feel like the movie is real life, is what makes a movie Great, that's why Malcolm, that was definitely authentic brother! It was a low budget movie but who cares, the directing was unique and without being hyperbolic the actors' performances made the movie more interesting than ever. Anyways I'm not here to narrate the story of my entire life, it was dope. Give them a nomination.","unknown_value_please_contact_support","UncleLookAtMe"," Oscar Worthy Performances
"
